Classement,Quartier,Date,Anne,Occupancy rate,Average Price,RevPAR,Source
3 stars,All,01-01-2013,2013,0.611553068,81.20416129,49.66065393,Mkg
4 stars,All,01-01-2013,2013,0.559014092,111.0309761,62.06788035,Mkg
5 stars,All,01-01-2013,2013,0.560899356,154.448997,86.63034297,Mkg
All,All,01-01-2013,2013,0.57902577,105.2894972,60.96533217,Mkg
All,Autour du Ring,01-01-2013,2013,0.537395051,98.81193134,53.10104286,Mkg
All,Brussels Airport,01-01-2013,2013,0.597049024,107.5618794,64.21971514,Mkg
All,Grand Place & environs,01-01-2013,2013,0.634968923,104.6976059,66.47972603,Mkg
All,Quartier Louise,01-01-2013,2013,0.513373436,111.1736409,57.07359407,Mkg
All,Quartier Europen,01-01-2013,2013,0.561537344,129.7802303,72.8764458,Mkg
All,Rogier/Botanique,01-01-2013,2013,0.5353682,99.77129327,53.41437768,Mkg
All,Midi-Lemonnier,01-01-2013,2013,0.580981621,73.19458014,42.52470581,Mkg
3 stars,All,01-02-2013,2013,0.65089105,85.33849997,55.54606583,Mkg
4 stars,All,01-02-2013,2013,0.633696063,113.7582395,72.08814846,Mkg
5 stars,All,01-02-2013,2013,0.596861761,163.5288013,97.60408835,Mkg
All,All,01-02-2013,2013,0.637414853,109.396682,69.73106994,Mkg
All,Autour du Ring,01-02-2013,2013,0.545315558,95.55994729,52.11032595,Mkg
All,Brussels Airport,01-02-2013,2013,0.628688514,110.4023806,69.40251139,Mkg
All,Grand Place & environs,01-02-2013,2013,0.697161096,112.0541087,78.11976529,Mkg
All,Quartier Louise,01-02-2013,2013,0.574464633,113.5381196,65.22363424,Mkg
All,Quartier Europen,01-02-2013,2013,0.674308237,136.8641855,92.28864758,Mkg
All,Rogier/Botanique,01-02-2013,2013,0.592637604,103.5884598,61.3904166,Mkg
All,Midi-Lemonnier,01-02-2013,2013,0.657757497,75.03807376,49.35685556,Mkg
3 stars,All,01-03-2013,2013,0.702744174,93.93426087,69.31592758,Mkg
4 stars,All,01-03-2013,2013,0.707585548,121.4566728,85.94098632,Mkg
5 stars,All,01-03-2013,2013,0.666581938,175.0190418,116.6645321,Mkg
All,All,01-03-2013,2013,0.714846561,117.8405341,84.23790057,Mkg
All,Autour du Ring,01-03-2013,2013,0.598099867,92.10043498,55.08525795,Mkg
All,Brussels Airport,01-03-2013,2013,0.686309886,111.3586424,76.42653719,Mkg
All,Grand Place & environs,01-03-2013,2013,0.769953901,125.903909,96.94020594,Mkg
All,Quartier Louise,01-03-2013,2013,0.667183019,121.2024755,80.86423353,Mkg
All,Quartier Europen,01-03-2013,2013,0.747965708,139.867434,104.6160443,Mkg
All,Rogier/Botanique,01-03-2013,2013,0.672850754,114.3924487,76.96904529,Mkg
All,Midi-Lemonnier,01-03-2013,2013,0.817176263,88.84629954,72.60308702,Mkg
3 stars,All,01-04-2013,2013,0.745909707,98.57660269,73.52924478,Mkg
4 stars,All,01-04-2013,2013,0.711862378,125.7738604,89.53367937,Mkg
5 stars,All,01-04-2013,2013,0.6449235,186.4703538,120.2591132,Mkg
All,All,01-04-2013,2013,0.716446,122.7651388,87.95459267,Mkg
All,Autour du Ring,01-04-2013,2013,0.669520548,97.27554987,65.12797945,Mkg
All,Brussels Airport,01-04-2013,2013,0.696688054,111.681415,77.80710771,Mkg
All,Grand Place & environs,01-04-2013,2013,0.766918292,130.0280814,99.72091418,Mkg
All,Quartier Louise,01-04-2013,2013,0.657629595,128.3569025,84.41129777,Mkg
All,Quartier Europen,01-04-2013,2013,0.694169169,148.5077797,103.089522,Mkg
All,Rogier/Botanique,01-04-2013,2013,0.6917703,123.5767826,85.48674799,Mkg
All,Midi-Lemonnier,01-04-2013,2013,0.817687962,94.04892373,76.90267275,Mkg
3 stars,All,01-05-2013,2013,0.793551273,83.95388838,66.62171497,Mkg
4 stars,All,01-05-2013,2013,0.766859815,105.9205271,81.22619583,Mkg
5 stars,All,01-05-2013,2013,0.723170468,166.7705322,120.6035237,Mkg
All,All,01-05-2013,2013,0.771097238,105.4613874,81.32098458,Mkg
All,Autour du Ring,01-05-2013,2013,0.714703933,83.48160445,59.66463102,Mkg
All,Brussels Airport,01-05-2013,2013,0.728005608,96.34653098,70.14081488,Mkg
All,Grand Place & environs,01-05-2013,2013,0.81760169,114.8594149,93.90925175,Mkg
All,Quartier Louise,01-05-2013,2013,0.739470517,115.7311551,85.57977717,Mkg
All,Quartier Europen,01-05-2013,2013,0.758834182,127.574201,96.80766445,Mkg
All,Rogier/Botanique,01-05-2013,2013,0.759690288,96.89939438,73.61352887,Mkg
All,Midi-Lemonnier,01-05-2013,2013,0.859528115,86.2832999,74.16292215,Mkg
3 stars,All,01-06-2013,2013,0.778863031,90.59184581,70.55863964,Mkg
4 stars,All,01-06-2013,2013,0.77443506,116.055983,89.87782213,Mkg
5 stars,All,01-06-2013,2013,0.71547878,181.9213662,130.1608772,Mkg
All,All,01-06-2013,2013,0.768777434,115.2521634,88.60326249,Mkg
All,Autour du Ring,01-06-2013,2013,0.694691781,94.82907896,65.87698174,Mkg
All,Brussels Airport,01-06-2013,2013,0.768502177,105.933193,81.4098894,Mkg
All,Grand Place & environs,01-06-2013,2013,0.801751382,124.4892044,99.80939161,Mkg
All,Quartier Louise,01-06-2013,2013,0.737892348,126.4214833,93.28544512,Mkg
All,Quartier Europen,01-06-2013,2013,0.781123507,139.7020538,109.1245582,Mkg
All,Rogier/Botanique,01-06-2013,2013,0.76946053,107.9621177,83.07258836,Mkg
All,Midi-Lemonnier,01-06-2013,2013,0.715504648,89.01505267,63.69068393,Mkg
3 stars,All,01-07-2013,2013,0.724395876,65.52033213,47.46265839,Mkg
4 stars,All,01-07-2013,2013,0.664492411,81.86375693,54.3978452,Mkg
5 stars,All,01-07-2013,2013,0.598372588,135.9741407,81.36319846,Mkg
All,All,01-07-2013,2013,0.677019677,81.82478061,55.39698651,Mkg
All,Autour du Ring,01-07-2013,2013,0.607269112,71.89167637,43.65759445,Mkg
All,Brussels Airport,01-07-2013,2013,0.727158353,74.86474491,54.4385246,Mkg
All,Grand Place & environs,01-07-2013,2013,0.756907283,88.54762531,67.0223425,Mkg
All,Quartier Louise,01-07-2013,2013,0.607229465,89.72360037,54.48281385,Mkg
All,Quartier Europen,01-07-2013,2013,0.654445307,97.76116199,63.97933369,Mkg
All,Rogier/Botanique,01-07-2013,2013,0.609587748,75.67200271,46.12872572,Mkg
All,Midi-Lemonnier,01-07-2013,2013,0.59770595,66.12890287,39.52563874,Mkg
3 stars,All,01-08-2013,2013,0.718377322,60.70778507,43.61109604,Mkg
4 stars,All,01-08-2013,2013,0.660628636,70.73369616,46.72870523,Mkg
5 stars,All,01-08-2013,2013,0.606069797,118.0305808,71.5347702,Mkg
All,All,01-08-2013,2013,0.673639371,72.48998842,48.8321102,Mkg
All,Autour du Ring,01-08-2013,2013,0.593460009,73.70572506,43.74140024,Mkg
All,Brussels Airport,01-08-2013,2013,0.631758137,66.69013365,42.13203459,Mkg
All,Grand Place & environs,01-08-2013,2013,0.780002734,78.73243669,61.41151586,Mkg
All,Quartier Louise,01-08-2013,2013,0.629058979,82.86979984,52.12999172,Mkg
All,Quartier Europen,01-08-2013,2013,0.626686402,74.13455105,46.45911506,Mkg
All,Rogier/Botanique,01-08-2013,2013,0.654141577,65.91578697,43.11825684,Mkg
All,Midi-Lemonnier,01-08-2013,2013,0.614316926,62.50666789,38.39890406,Mkg
3 stars,All,01-09-2013,2013,0.80684184,104.4390503,84.2657955,Mkg
4 stars,All,01-09-2013,2013,0.78119631,126.6202318,98.91525786,Mkg
5 stars,All,01-09-2013,2013,0.727249071,181.7785692,132.1982955,Mkg
All,All,01-09-2013,2013,0.7832907,125.034417,97.93829599,Mkg
All,Autour du Ring,01-09-2013,2013,0.721689498,107.3599652,77.48055936,Mkg
All,Brussels Airport,01-09-2013,2013,0.746979787,115.4774502,86.25932118,Mkg
All,Grand Place & environs,01-09-2013,2013,0.821842035,137.5999924,113.0854578,Mkg
All,Quartier Louise,01-09-2013,2013,0.726742073,129.6388752,94.21402489,Mkg
All,Quartier Europen,01-09-2013,2013,0.77482731,145.2541264,112.5468641,Mkg
All,Rogier/Botanique,01-09-2013,2013,0.814381271,117.0694664,95.33918085,Mkg
All,Midi-Lemonnier,01-09-2013,2013,0.79186587,102.2007379,80.92927623,Mkg
3 stars,All,01-10-2013,2013,0.794686716,97.80099636,77.72115262,Mkg
4 stars,All,01-10-2013,2013,0.772156518,120.1858993,92.80232554,Mkg
5 stars,All,01-10-2013,2013,0.762286306,173.1846735,132.016305,Mkg
All,All,01-10-2013,2013,0.77969405,118.7246481,92.56890174,Mkg
All,Autour du Ring,01-10-2013,2013,0.685925762,95.28415687,65.35785793,Mkg
All,Brussels Airport,01-10-2013,2013,0.717182449,110.0489182,78.9251527,Mkg
All,Grand Place & environs,01-10-2013,2013,0.848728795,126.0299223,106.9652241,Mkg
All,Quartier Louise,01-10-2013,2013,0.752384697,124.3153996,93.5330042,Mkg
All,Quartier Europen,01-10-2013,2013,0.785371412,142.3441611,111.7930348,Mkg
All,Rogier/Botanique,01-10-2013,2013,0.771344919,115.8018051,89.32313397,Mkg
All,Midi-Lemonnier,01-10-2013,2013,0.807094204,94.56534634,76.32314291,Mkg
3 stars,All,01-11-2013,2013,0.796652404,92.17587722,73.43213416,Mkg
4 stars,All,01-11-2013,2013,0.759537359,115.2846342,87.56298661,Mkg
5 stars,All,01-11-2013,2013,0.765171212,163.3564271,124.9956353,Mkg
All,All,01-11-2013,2013,0.771430281,113.322446,87.42036642,Mkg
All,Autour du Ring,01-11-2013,2013,0.660673516,89.90159136,59.39560046,Mkg
All,Brussels Airport,01-11-2013,2013,0.664051372,110.8731117,73.62544191,Mkg
All,Grand Place & environs,01-11-2013,2013,0.845268057,119.50981,101.0178248,Mkg
All,Quartier Louise,01-11-2013,2013,0.748064999,119.5600486,89.43868762,Mkg
All,Quartier Europen,01-11-2013,2013,0.808830143,139.5933521,112.907311,Mkg
All,Rogier/Botanique,01-11-2013,2013,0.786455602,103.8473356,81.67131883,Mkg
All,Midi-Lemonnier,01-11-2013,2013,0.805677291,88.83230725,71.57017264,Mkg
3 stars,All,01-12-2013,2013,0.712403183,83.46414686,59.46012388,Mkg
4 stars,All,01-12-2013,2013,0.665839369,101.6059154,67.65321859,Mkg
5 stars,All,01-12-2013,2013,0.667446095,147.4544086,98.41786913,Mkg
All,All,01-12-2013,2013,0.680166468,100.9508569,68.66338776,Mkg
All,Autour du Ring,01-12-2013,2013,0.538886434,86.96672407,46.8651878,Mkg
All,Brussels Airport,01-12-2013,2013,0.594083201,94.82596965,56.33451556,Mkg
All,Grand Place & environs,01-12-2013,2013,0.764786325,109.709496,83.90432222,Mkg
All,Quartier Louise,01-12-2013,2013,0.657761371,102.5360113,67.44422741,Mkg
All,Quartier Europen,01-12-2013,2013,0.673996848,123.5467463,83.27011759,Mkg
All,Rogier/Botanique,01-12-2013,2013,0.681214824,90.92368217,61.93856017,Mkg
All,Midi-Lemonnier,01-12-2013,2013,0.723493124,84.84253486,61.38299062,Mkg
3 stars,All,01-01-2014,2014,0.628411808,80.51764495,50.59823881,Mkg
4 stars,All,01-01-2014,2014,0.546947685,108.5904935,60.21866396,Mkg
5 stars,All,01-01-2014,2014,0.515367618,151.4347499,83.74757571,Mkg
All,All,01-01-2014,2014,0.573319927,102.8816326,58.98409003,Mkg
All,Autour du Ring,01-01-2014,2014,0.496906761,95.63391507,47.52113897,Mkg
All,Brussels Airport,01-01-2014,2014,0.572836662,104.9501099,60.11927059,Mkg
All,Grand Place & environs,01-01-2014,2014,0.631114531,103.3414499,65.22029071,Mkg
All,Quartier Louise,01-01-2014,2014,0.539532766,109.4472003,59.05035074,Mkg
All,Quartier Europen,01-01-2014,2014,0.568618892,126.9093871,72.16307506,Mkg
All,Rogier/Botanique,01-01-2014,2014,0.512764345,96.7936751,49.63234542,Mkg
All,Midi-Lemonnier,01-01-2014,2014,0.610075826,75.86257426,46.28192263,Mkg
